"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 12 03:21:29 UTC 2021","Mon Apr 12 03:29:58 UTC 2021","509117","","jp.shiftinc.automation.trial.TestMobileApp","","jp.shiftinc.automation.trial.TestMobileApp","imageSelectorTest","[1] ios",""
"broken","Mon Apr 12 03:29:58 UTC 2021","Mon Apr 12 03:31:15 UTC 2021","76997","","jp.shiftinc.automation.trial.TestMobileApp","","jp.shiftinc.automation.trial.TestMobileApp","imageSelectorTest","[2] android",""
